Date,Asset_Name,Asset_Class,Transaction_Type,Exchange,Quantity,Price_Per_Unit,Total_Value,Realized_Profit
2023-01-01,Ethereum,Cryptocurrency,Buy,Binance,2.3742,2432.83,5776.02,0.0
2023-01-02,Ethereum,Cryptocurrency,Buy,Binance,0.7646,3543.46,2709.33,0.0
2023-01-03,Tata Motors,Stock,Sell,NSE,30.0,532.48,15974.4,3522.35
2023-01-04,Reliance Industries,Stock,Buy,NSE,38.0,2206.6,83850.8,0.0
2023-01-05,Tata Motors,Stock,Sell,NSE,324.0,862.75,279531.0,-34459.79
2023-01-06,ATOM,Cryptocurrency,Buy,Binance,431.67,11.39,4916.72,0.0
2023-01-06,Infosys,Stock,Buy,NSE,36.0,1437.94,51765.84,0.0
2023-01-07,GOLDBEES,ETF,Buy,NSE,303.0,64.16,19440.48,0.0
2023-01-08,TCS,Stock,Buy,NSE,304.0,3519.37,1069888.48,0.0
2023-01-12,ATOM,Cryptocurrency,Buy,Binance,408.19,11.68,4767.66,0.0
2023-01-13,Bitcoin,Cryptocurrency,Buy,Binance,0.242,58857.24,14243.45,0.0
2023-01-14,ATOM,Cryptocurrency,Buy,Binance,351.84,13.26,4665.4,0.0
2023-01-15,Tata Motors,Stock,Buy,NSE,340.0,566.13,192484.2,0.0
2023-01-17,L&T,Stock,Buy,NSE,160.0,3114.32,498291.2,0.0
2023-01-20,Reliance Industries,Stock,Sell,NSE,73.0,2607.56,190351.88,-14086.23
2023-01-20,HDFC Bank,Stock,Buy,NSE,178.0,1601.43,285054.54,0.0
2023-01-21,Infosys,Stock,Buy,NSE,15.0,1428.86,21432.9,0.0
2023-01-24,Ethereum,Cryptocurrency,Sell,Binance,1.0941,3970.7,4344.34,1731.21
2023-01-26,Tata Motors,Stock,Buy,NSE,278.0,491.29,136578.62,0.0
2023-01-26,ITC,Stock,Buy,NSE,195.0,460.24,89746.8,0.0
2023-01-29,SBI,Stock,Buy,NSE,382.0,557.14,212827.48,0.0
2023-01-29,GOLDBEES,ETF,Sell,NSE,322.0,56.08,18057.76,6495.4
2023-01-31,Ethereum,Cryptocurrency,Buy,Binance,2.3717,1614.3,3828.64,0.0
2023-02-01,NIFTYBEES,ETF,Sell,NSE,12.0,256.45,3077.4,1104.75
2023-02-05,Infosys,Stock,Sell,NSE,41.0,1724.45,70702.45,-7528.99
2023-02-09,GOLDBEES,ETF,Buy,NSE,158.0,55.7,8800.6,0.0
2023-02-09,Reliance Industries,Stock,Buy,NSE,94.0,2896.25,272247.5,0.0
2023-02-10,TCS,Stock,Sell,NSE,445.0,3242.82,1443054.9,505266.3
2023-02-11,NIFTYBEES,ETF,Sell,NSE,270.0,238.61,64424.7,-9119.21
2023-02-12,Reliance Industries,Stock,Buy,NSE,170.0,2943.54,500401.8,0.0
2023-02-13,Solana,Cryptocurrency,Buy,Binance,421.3,193.97,81719.56,0.0
2023-02-18,HDFC Bank,Stock,Buy,NSE,93.0,1384.14,128725.02,0.0
2023-02-20,L&T,Stock,Buy,NSE,165.0,2303.55,380085.75,0.0
2023-02-20,ITC,Stock,Sell,NSE,292.0,446.51,130380.92,8329.73
2023-02-21,HDFC Bank,Stock,Buy,NSE,336.0,1577.64,530087.04,0.0
2023-02-22,Infosys,Stock,Buy,NSE,185.0,1521.51,281479.35,0.0
2023-02-22,NIFTYBEES,ETF,Sell,NSE,240.0,225.88,54211.2,18599.22
2023-02-24,Solana,Cryptocurrency,Buy,Binance,487.25,199.93,97415.89,0.0
2023-02-25,SBI,Stock,Buy,NSE,146.0,627.98,91685.08,0.0
2023-02-25,Solana,Cryptocurrency,Buy,Binance,329.27,47.86,15758.86,0.0
2023-02-26,ITC,Stock,Sell,NSE,283.0,370.72,104913.76,15251.29
2023-02-28,HDFC Bank,Stock,Buy,NSE,81.0,1731.62,140261.22,0.0
2023-03-01,Tata Motors,Stock,Sell,NSE,470.0,859.52,403974.4,130273.38
2023-03-01,Infosys,Stock,Buy,NSE,416.0,1608.11,668973.76,0.0
2023-03-03,TCS,Stock,Buy,NSE,97.0,3466.06,336207.82,0.0
2023-03-05,GOLDBEES,ETF,Buy,NSE,49.0,74.39,3645.11,0.0
2023-03-06,ITC,Stock,Sell,NSE,168.0,402.53,67625.04,15176.12
2023-03-07,GOLDBEES,ETF,Sell,NSE,197.0,54.25,10687.25,-657.29
2023-03-07,Reliance Industries,Stock,Buy,NSE,169.0,2709.09,457836.21,0.0
2023-03-08,SBI,Stock,Buy,NSE,443.0,506.55,224401.65,0.0
2023-03-15,Solana,Cryptocurrency,Sell,Binance,315.84,56.16,17737.57,174.16
2023-03-15,ATOM,Cryptocurrency,Sell,Binance,370.23,9.56,3539.4,554.75
2023-03-17,SBI,Stock,Buy,NSE,455.0,617.04,280753.2,0.0
2023-03-17,NIFTYBEES,ETF,Sell,NSE,318.0,182.62,58073.16,10994.44
2023-03-20,Infosys,Stock,Sell,NSE,347.0,1304.4,452626.8,18242.68
2023-03-21,ITC,Stock,Buy,NSE,445.0,462.95,206012.75,0.0
2023-03-23,HDFC Bank,Stock,Buy,NSE,278.0,1702.24,473222.72,0.0
2023-03-23,HDFC Bank,Stock,Buy,NSE,90.0,1697.27,152754.3,0.0
2023-03-23,TCS,Stock,Sell,NSE,210.0,3219.44,676082.4,47418.81
2023-03-24,TCS,Stock,Sell,NSE,127.0,3043.27,386495.29,81264.7
2023-03-24,ITC,Stock,Buy,NSE,479.0,449.54,215329.66,0.0
2023-03-26,Ethereum,Cryptocurrency,Buy,Binance,1.8412,1999.17,3680.87,0.0
2023-03-27,HDFC Bank,Stock,Buy,NSE,297.0,1516.17,450302.49,0.0
